0.0001;26,130;29965;26,130
0.0001;32,465;13789;32,299
0.00025;33,632;29387;33,631
0.0001;31,591;18180;31,550
0.0001;25,286;29981;25,286
5e-05;27,617;18569;27,575
0.0001;31,210;26845;31,204
0.0001;23,758;29999;23,758
0.00025;30,867;29989;30,867
0.00025;31,113;29515;31,112
0.00025;28,946;29990;28,946
0.00025;32,437;29989;32,437
5e-05;24,206;29457;24,206
0.0001;27,950;29999;27,950
0.00025;31,977;29047;31,974
0.00025;31,332;29967;31,332
0.00025;30,660;29999;30,660
0.0001;27,355;29911;27,355
0.0001;27,339;29503;27,338
0.00025;31,428;29998;31,428
0.0001;27,967;29736;27,966
0.0001;29,553;29810;29,553
0.00025;32,247;29995;32,247
0.0001;26,779;29993;26,779
